STATE,Seq No,"Distributor Code",PARTY NAME,PLACE,"Entire Coverage District","Partial Coverage District",Area Office Name,No of Coupons,Remarks
GUJARAT,GUJ19,NAV0000,PAWAN AGENCY,Navsari,Navsari,"Tapi , Dang","Agasvan BO,Ahwadangs SO,Algat BO,Amalgundi BO,Ambach BO,Ambia BO,Amoda BO,Andhatri BO,Antapur BO,Anumala SO,Babarghat BO,Bahedaraipura BO,Bajipura SO,Balpur BO,Bardipada BO,Bardipada BO,Barkhandhia BO,Bedchit BO,Bedkuva BO,Bedkuvadoor BO,Bedkuvanajik BO,Bhadbhunja BO,Bhalkhet BO,Bhatwada BO,Bhavandagad BO,Bhiljamboli BO,Bhimpor BO,Bhitkhurd BO,Bhojpur Najik BO,Borisavar BO,Borkhadi BO,Borkhal BO,Bortha BO,Buhari SO,Butwada BO,Butwada BO,Centrap Pulp Mill SO,Champavadi BO,Chankhal BO,Chhapti BO,Chhindia BO,Chikar BO,Chikatia BO,Chikhalda BO,Chikhali Dangs BO,Chikhali Khadka BO,Chikhalvav BO,Chikhlinani BO,Chinchinagaontha BO,Chinchli BO,Chirmati BO,Chitpur BO,Chokhiamli BO,Chorvad BO,Chunavadi BO,Dadaria BO,Dagadiamba BO,Dagunia BO,Degama BO,Delvada BO,Dhajamba BO,Dhamodi BO,Dhamodla BO,Dhanturi BO,Dhat BO,Dhavlidod BO,Dolara BO,Dolvan SO,Doswada BO,Fort Songadh SO,Gadat SO Tapi,Galkund BO,Galkuva BO,Gandhi Vidhyapith BO,Gangtha BO,Garakhadi BO,Gavan BO,Ghadvi BO,Ghani BO,Ghasiamedha BO,Ghata BO,Gheriavav BO,Ghoda BO,Goddha BO,Goddha BO,Gondalvihir BO,Gopalpura BO,Gotiamal BO,Gujarpur BO,Gunkhadi BO,Haripur BO,Hathoda BO,Hathuka BO,Hindla BO,Hiravadi BO,Itwai BO,Jakhana BO,Jamania BO,Jamkhadi BO,Jesingpur BO,Jhavda BO,Kadmal BO,Kaher BO,Kakadva BO,Kalakva BO,Kalamkui BO,Kalamkui BO,Kalibel BO,Kanjan BO,Kanjod BO,Kapura SO,Karanjkhed BO,Karanjvel BO,Karod BO,Kasvav BO,Katasvan BO,Kelkui BO,Keshbandh BO,Khabda BO,Khambhala BO,Khanjar BO,Khanpur BO,Khanpur BO,Khatal BO,Khodtalav BO,Khorda BO,Khurdi BO,Khushalpura BO,Khutadia BO,Kikakui BO,Kosimda BO,Kuida BO,Kukurmunda SO,Kumkuva BO,Lakhali BO,Lavchali BO,Laxmikheda BO,Limbarda BO,Limbi BO,Linga BO,Lotarva BO,Magarbara BO,Magarkui BO,Mahal BO,Mahalpada BO,Maheshkatri BO,Malangdev BO,Malegaon BO,Mangalia BO,Manmodi BO,Mataval BO,Mirkot BO,Mirpur BO,Moghvan BO,Moramba BO,Mordevi BO,Morzira BO,Mota Bandharpada BO,Mota Tarpada BO,Moti Khervan BO,Mubarakpur BO,Nadagchond BO,Nakatia Hanvant BO,Nanapada BO,Narayanpur BO,Navafalia BO,Nijhar SO,Nimbhora BO,Nishana BO,Nishana BO,Padamdungri BO,Palawadi BO,Panchol BO,Panchpipla BO,Pandva BO,Paniyari BO,Panwadi SO,Pathakwadi BO,Pati BO,Pelad BO,Phulwadi BO,Pimpri SO,Pipaldahad BO,Pipalkuva BO,Piplaidevi BO,Piplod BO,Pisavar BO,Pithadara BO,Raigadh BO,Rambhas BO,Raniamba BO,Raniamba SO,Ranveri BO,Rumkitalav BO,Rupvada BO,Sadadvel BO,Sadgavan BO,Sakarpatal BO,Samgahan BO,Sankarda BO,Sankli BO,Saputara SO,Sarovar BO,Sarvala BO,Sayla BO,Segupada BO,Selud BO,Serulla BO,Siker BO,Singana BO,Singpur BO,Sisor BO,Subir SO,Sundarpur BO,Syadla BO,Tanklipada BO,Taparwada BO,Thuti BO,Tokarva BO,Uchchhal SO,Ukai Dam SO,Ukhalda BO,Umarkui BO,Umarkutch BO,Umarvavdoor BO,Unchamala BO,Vadibhesrot BO,Vadkui BO,Valod SO,Vanka BO,Vankla BO,Vanskui BO,Vanskui BO,Vanskui BO,Vasurna BO,Vazarda BO,Vedchhi SO,Veldha BO,Virpor BO,Virpur BO,Virpur BO,Vyara RS SO,Vyara SO,Vyaval BO,Waghai SO,Zankhari BO,Zaridungarda BO,Pati BO,Sadadvel BO,Umarkui BO,",,
GUJARAT,GUJ20,VAL0000,AKANSHA HOSIERY,Valsad,"Tapi,Dang,Valsad",Navsari,"Khanpur BO,Pati BO,Sadadvel BO,Umarkui BO,Aat SO,Abrama SO,Achhavani BO,Adada BO,Agasi BO,Ajrai BO,Alipore SO,Amadhara BO,Amadpore BO,Amalsad SO,Ambabari BO,AmbachChikhli BO,Ambada BO,Ambapani BO,Ambheta BO,Amli Kasba BO,Ancheli BO,Antalia SO,Arak Sisodra BO,Ashtagam BO,Asna BO,Avda Falia BO,Bahej BO,Balvada BO,Bamanvel BO,Bartad BO,Bhatfalia BO,Bhatha BO,Bhattai BO,Bhinar BO,Bhinar BO,Bigri SO,Bilimora HO,Bodali BO,Bodvank BO,Bori Falia SO,Boriachh BO,Borsi BO,Chandravasansupa BO,Chapaldhara BO,Charanwada BO,Chari BO,Chasa BO,Chhapar BO,Chhapra BO,Chhinam BO,Chijgam BO,Chikhli SO Navsari,Chokhad BO,Chondha BO,Chorvani BO,Chovisi BO,Dabhel SO,Dabhlai BO,Dambher BO,Dandi BO,Danti BO,Debarpada BO,Degam SO,Delvada Vadoli BO,Devdha BO,Devsar SO,Dhaman BO,Dhamdachha BO,Dhamdhuma BO,DhanoriGandevi BO,Dharampuri BO,Dholai Falia BO,Dholumber BO,Dholumber Chikhli BO,Digendranagar SO,Dipla Falia BO,Doldha BO,Donja BO,Dubalfalia BO,Duwada BO,Endhal BO,Eru Ac SO,Eru BO,Fadvel SO,Gadat SO Navsari,Gandeva BO,Gandevi SO,Gangpur BO,Gauri BO,Ghej BO,Ghodavani BO,Ghodmal BO,Gholar BO,Godhabari BO,Godthal BO,Gurukulsupa SO,Hansapore BO,Harangam BO,Hond BO,Ichhapore BO,Italva BO,Jalalpore SO,Jamalia BO,Jamalpore BO,Jamanpada BO,Jogvad BO,Junathana SO,Kabilpore SO,Kachholi SO,Kadoli BO,Kakadvel BO,Kakadveri BO,Kalakachha BO,Kalamtha BO,Kaliari BO,Kaliawadi SO,Kalthan BO,Kalvach BO,Kanbhai BO,Kandha BO,Kanera BO,Kangvai BO,Kansaria BO,Kantasvel BO,Karadi SO,Kasbapar BO,Kavdej BO,Kelia BO,Kesli BO,Khadsupa BO,Khadsupa Boarding SO,Khakhwada BO,Khambhda BO,KhambhlaVansda BO,Khaparia BO,Khaparvada BO,Kharel SO,Kharoli BO,Kharsad BO,Khata Amba BO,Khergam SO,Khergam Ugat BO,KhergamGandevi BO,Khudvel BO,Khundh BO,Kolva BO,Kotha BO,Kothamadi BO,Krishnapur BO,Kuched BO,Kukeri BO,Kumbhar Falia BO,Kurel BO,Kurelia BO,Lakhawadi BO,Limzar BO,Lusvada BO,Machhad BO,Machhia Vasan Falia BO,Magob Bhatha BO,Mahudi BO,Mahuvas BO,Majigam BO,Malesar SO,Maliadhara BO,Mandavkhadak BO,Mandir BO,Manekpore Tankoli BO,ManekporeChikhli BO,ManekporeGadat BO,Mangrol BO,Mankunia BO,Manpur BO,Maroli Bazar SO,Maroli BO,Masa BO,Matvad SO,Mendhar BO,Minkachh BO,Mirzapore BO,Mogar BO,Mogravadi BO,Mohanpur BO,Molaamba BO,Moldhara BO,Moti Karod BO,Moti Valzar BO,Motibhamti BO,Motikakrad BO,Movasa Falia BO,Munsad BO,Nagdhara BO,Nandarkha BO,Nandhai BO,Naranpore BO,Navanagar BO,Navsari HO,Navtad BO,Nogama BO,Onjal BO,Onjal Machhivad BO,Padgha BO,Palgabhan BO,Panaj BO,Panar SO,Panikhadak BO,Parthan BO,Parujan BO,Pati BO,PatiGandevi BO,Pera BO,Pethan BO,Pinsad BO,Pipalgabhan BO,Pipalkhed BO,Ponsra BO,Pratap Nagar BO,Raibor BO,Ranifalia BO,Rankuva SO,Ranverikalla BO,Ranverikhurd BO,Ravania BO,Rethvania BO,Rumla SO,Rupvel BO,Ruzvani BO,Sadadvel BO,Sadakpore BO,Sadlav BO,Sagra BO,Salej BO,Samapur BO,Samroli BO,Sandalpore BO,Sara BO,Saraiya BO,Sarav BO,Sarpore Pardi BO,Sarvani BO,Satem SO,Simalgam BO,Simlak BO,Sindhai BO,Singad BO,Sisodra SO,Siyada BO,Soldhara BO,Sonvadi BO,Sugar Factory BO,Sukhabari BO,Sultanpur BO,Sunthvad BO,Supakurel BO,",,
GUJARAT,GUJ21,VAL0300,PARAS TRADERS,Valsad,"Tapi,Dang,Valsad",Navsari,"Khanpur BO,Pati BO,Sadadvel BO,Umarkui BO,Aat SO,Abrama SO,Achhavani BO,Adada BO,Agasi BO,Ajrai BO,Alipore SO,Amadhara BO,Amadpore BO,Amalsad SO,Ambabari BO,AmbachChikhli BO,Ambada BO,Ambapani BO,Ambheta BO,Amli Kasba BO,Ancheli BO,Antalia SO,Arak Sisodra BO,Ashtagam BO,Asna BO,Avda Falia BO,Bahej BO,Balvada BO,Bamanvel BO,Bartad BO,Bhatfalia BO,Bhatha BO,Bhattai BO,Bhinar BO,Bhinar BO,Bigri SO,Bilimora HO,Bodali BO,Bodvank BO,Bori Falia SO,Boriachh BO,Borsi BO,Chandravasansupa BO,Chapaldhara BO,Charanwada BO,Chari BO,Chasa BO,Chhapar BO,Chhapra BO,Chhinam BO,Chijgam BO,Chikhli SO Navsari,Chokhad BO,Chondha BO,Chorvani BO,Chovisi BO,Dabhel SO,Dabhlai BO,Dambher BO,Dandi BO,Danti BO,Debarpada BO,Degam SO,Delvada Vadoli BO,Devdha BO,Devsar SO,Dhaman BO,Dhamdachha BO,Dhamdhuma BO,DhanoriGandevi BO,Dharampuri BO,Dholai Falia BO,Dholumber BO,Dholumber Chikhli BO,Digendranagar SO,Dipla Falia BO,Doldha BO,Donja BO,Dubalfalia BO,Duwada BO,Endhal BO,Eru Ac SO,Eru BO,Fadvel SO,Gadat SO Navsari,Gandeva BO,Gandevi SO,Gangpur BO,Gauri BO,Ghej BO,Ghodavani BO,Ghodmal BO,Gholar BO,Godhabari BO,Godthal BO,Gurukulsupa SO,Hansapore BO,Harangam BO,Hond BO,Ichhapore BO,Italva BO,Jalalpore SO,Jamalia BO,Jamalpore BO,Jamanpada BO,Jogvad BO,Junathana SO,Kabilpore SO,Kachholi SO,Kadoli BO,Kakadvel BO,Kakadveri BO,Kalakachha BO,Kalamtha BO,Kaliari BO,Kaliawadi SO,Kalthan BO,Kalvach BO,Kanbhai BO,Kandha BO,Kanera BO,Kangvai BO,Kansaria BO,Kantasvel BO,Karadi SO,Kasbapar BO,Kavdej BO,Kelia BO,Kesli BO,Khadsupa BO,Khadsupa Boarding SO,Khakhwada BO,Khambhda BO,KhambhlaVansda BO,Khaparia BO,Khaparvada BO,Kharel SO,Kharoli BO,Kharsad BO,Khata Amba BO,Khergam SO,Khergam Ugat BO,KhergamGandevi BO,Khudvel BO,Khundh BO,Kolva BO,Kotha BO,Kothamadi BO,Krishnapur BO,Kuched BO,Kukeri BO,Kumbhar Falia BO,Kurel BO,Kurelia BO,Lakhawadi BO,Limzar BO,Lusvada BO,Machhad BO,Machhia Vasan Falia BO,Magob Bhatha BO,Mahudi BO,Mahuvas BO,Majigam BO,Malesar SO,Maliadhara BO,Mandavkhadak BO,Mandir BO,Manekpore Tankoli BO,ManekporeChikhli BO,ManekporeGadat BO,Mangrol BO,Mankunia BO,Manpur BO,Maroli Bazar SO,Maroli BO,Masa BO,Matvad SO,Mendhar BO,Minkachh BO,Mirzapore BO,Mogar BO,Mogravadi BO,Mohanpur BO,Molaamba BO,Moldhara BO,Moti Karod BO,Moti Valzar BO,Motibhamti BO,Motikakrad BO,Movasa Falia BO,Munsad BO,Nagdhara BO,Nandarkha BO,Nandhai BO,Naranpore BO,Navanagar BO,Navsari HO,Navtad BO,Nogama BO,Onjal BO,Onjal Machhivad BO,Padgha BO,Palgabhan BO,Panaj BO,Panar SO,Panikhadak BO,Parthan BO,Parujan BO,Pati BO,PatiGandevi BO,Pera BO,Pethan BO,Pinsad BO,Pipalgabhan BO,Pipalkhed BO,Ponsra BO,Pratap Nagar BO,Raibor BO,Ranifalia BO,Rankuva SO,Ranverikalla BO,Ranverikhurd BO,Ravania BO,Rethvania BO,Rumla SO,Rupvel BO,Ruzvani BO,Sadadvel BO,Sadakpore BO,Sadlav BO,Sagra BO,Salej BO,Samapur BO,Samroli BO,Sandalpore BO,Sara BO,Saraiya BO,Sarav BO,Sarpore Pardi BO,Sarvani BO,Satem SO,Simalgam BO,Simlak BO,Sindhai BO,Singad BO,Sisodra SO,Siyada BO,Soldhara BO,Sonvadi BO,Sugar Factory BO,Sukhabari BO,Sultanpur BO,Sunthvad BO,Supakurel BO,",,
GUJARAT,GUJ22,VAP0900,MAHADEV HOSIERY,Vapi,Valsad,,,,
GUJARAT,GUJ23,VAP1200,GEETA HOSIERY,Vapi,Valsad,,,,
GUJARAT,GUJ24,DAH0200,PADMA ENTERPRISES,DOHAD,DOHAD,Panch Mahals,"Ambakhunt BO,Bor BO,Damavav BO,Godli BO,Gollav BO,Gundi BO,Kantu BO,Kharod BO,Navagam BO,Rinchhvani BO,Saniada BO,Simalia BO,Navagam BO,Shekhpur BO,Kotha BO,Nandarkha BO,Vav BO",,
GUJARAT,GUJ25,GOD0200,JIGNESH HOSIERY,Godhra,"Mahisagar,Panch Mahals,Dahod",,,,
GUJARAT,GUJ26,HLL0000,GOLDEN HOSIERY,Halol,Panch Mahals,Panch Mahals,,,
GUJARAT,GUJ27,ROT0002,GALAXY HOSIERY,Rajkot,Rajkot,Morbi,"Jivapar BO,Kerali BO,Manekwada BO,Nani Vavdi BO,Navagam BO,Pipaliya BO,Samadhiyala BO,Samadhiyala BO,Valasan BO,Arnitimba BO,Bagathala BO,Bangavadi BO,Barvala BO,Bhadiyad BO,Bhalgam BO,Bhavpar BO,Bherda BO,Bhimguda BO,Biliya BO,Bodki BO,Chachapar BO,Chandrapur BO,Dahisara SO Rajkot,Daldi BO,Derala BO,Dhuva S.O,Gala BO,Gariya BO,Ghiyavad BO,Ghunda Khanpar BO,Ghunda S BO,Ghuntu BO,Gungan BO,Hadmatiya BO,Harbatiyali BO,Haripar BO,Haripar BO,Hirapar BO,Jabalpur BO,Jajasar BO,Jalida BO,Jambudiya BO,Jetpar M SO,Jivapar BO,Jivaparc BO,Jodjpar Nadi BO,Juna Ghantila BO,Juna Nagdavas BO,Kankot BO,Kankot BO,Kerala BO,Khakhrala BO,Khanpar BO,Kherda BO,Kherva BO,Khevaliya BO,Khijadia BO,Khirai BO,Kotharia BO,Kothi BO,Kothi BO,Kumbhariya BO,Kuntasi BO,Lajai BO,Lalpar BO,Lavanpur BO,Lilapar BO,Lunsar BO,Lunsariya BO,Mahendranagar BO,Mahika BO,Mahika BO,Makansar BO,Maliya Miyana SO,Manekwada BO,Matel BO,Meghpar Zala BO,Mesariya BO,Mitana BO,Morbi MDG SO,Mota  Bhela BO,Mota Khijadia BO,Motibarar BO,Nani Barar BO,Nani Vavdi BO,Nasitpar BO,Navagam BO,Neknam BO,Nesda K BO,Nichimandal BO,Otala BO,Paddhara BO,Panchasar BO,Panchasia BO,Panchdwarka BO,Paneli BO,Pipaliya BO,Pipaliya Raj BO,PipaliyaA BO,Pipli BO,Rafaleshwar BO,Rajavadala BO,Rajpar BO,Ranekpar BO,Rangpar Bela BO,Rangpar BO,Ratidevdi BO,RavaparNadi BO,Rohishala BO,Sadulkanava BO,Sajanpar BO,Sakat Sanala SO,Samadhiyala BO,Samadhiyala BO,Sapar BO,Saravad BO,Sardharka BO,Savadi BO,Shakat Sanala BO,Shri Sardanagar BO,Sindhavadar BO,Sokhda BO,Sultanpur BO,Tankara SO,Tarakiya BO,Targhadi BO,Thorala BO,Tithva BO,Unchi Mandal BO,Vachhakapar BO,Vadharva BO,Vaghasiya BO,Vaghpar BO,Valasan BO,Vankada BO,Vardusar BO,Varsamedi BO,Vavania BO,Vejalpar BO,Venasar BO,Virpar M BO,Virparda BO,Virvadrka BO,Virvav BO,Wankaner SO,Zinkiyali BO,Sultanpur BO",,
GUJARAT,GUJ28,SHD0002,CHOKSHI MARKETING,SURENDRANAGAR,SURENDRANAGAR,,,,
