State,Code,Seq No,Distributor,Place,"Entire District 
Coverage",Partial District Coverage,Area (Office Name),No Of Coupons,"Coupons
 Issued",Status,
Rajasthan,KUT0000,RAJ51,KHANDELWAL HOSIERY STORE,KOTPUTLI,"JAIPUR , ALWAR",,,40,,,
Rajasthan,KUC0200,RAJ52,M K AGENCY,KUCHAMANCITY,"JAIPUR  , NAGAUR ",,,20,,,
Rajasthan,NIM0300,RAJ53,NISHA HOSIERY,NEEM KA THANA,SIKAR,,,30,,,
Rajasthan,NIB0000,RAJ54,DEVIKA ENTERPRISES,NIMBAHARA,"CHITTORGARH , UDAIPUR ",,,80,,,
Rajasthan,PAL0200,RAJ55,MAN MOHAN AGENCIES,PALI,"PALI , SIROHI ",,,90,,,
Rajasthan,PRA0200,RAJ56,AJANTA HOSIERY HOUSE,PRATAPGARH,PRATAPGARH,,,90,,,
Rajasthan,SDU0000,RAJ57,JANGIR GARMENTS,SADULPUR,CHURU,,,30,,,
Rajasthan,SGW0000,RAJ58,JAIN HOSIERY,SAGWARA,"DUNGARPUR  , UDAIPUR ",,,30,,,
Rajasthan,SAN0300,RAJ59,AADITYA ENTERPRISES,SANCHORE,JALORE,,,40,,,
Rajasthan,SAN0400,RAJ60,STYLE FASHION,SANCHORE,JALORE,,,20,,,
Rajasthan,SDA0002,RAJ61,VYAS AGENCIES,SARDARSHAHAR,"CHURU , BIKANER",,,100,,,
Rajasthan,SAW0000,RAJ62,BHAWESH ENTERPRISES,SAWAIMADHOPUR,"SAWAI MADHOPUR ,TONK , BUNDI ",,,130,,,
Rajasthan,SHU0200,RAJ63,KRISHNA TRADING  COMPANY,SHAHPURA ,"JAIPUR , ALWAR",,,20,,,
Rajasthan,SHE0000,RAJ64,ANMOL AGENCIES,SHEOGANJ,"SIROHI, JALORE , PALI",,,90,,,
Rajasthan,SRI0100,RAJ65,PRINCE DRESESS ,SHRIMADHOPUR ,SIKAR ,,,20,,,
Rajasthan,SIK0800,RAJ66,NIDHAAN AGENCIES,SIKAR,SIKAR ,,,20,,,
Rajasthan,SIK0100,RAJ67,SHIV AGENCIES,SIKAR,SIKAR ,,,30,,,
Rajasthan,SIK1400,RAJ68,SHRI RAM ENTERPRISES,SIKAR,"SIKAR , JHUNJHUNU",,,20,,,
Rajasthan,SIK0200,RAJ69,VINOD ENTERPRISES,SIKAR,"SIKAR  , JHUNJHUNU",,,70,,,
Rajasthan,SUJ0100,RAJ70,SHREE RAM VASTAR GIRH UDHYOG,SUJANGARH,"CHURU , SIKAR , NAGAUR ",,,90,,,
Rajasthan,SUG0000,RAJ71,SHRI RAM AGENCIES,SURATGARH,"HANUMANGARH  , BIKANER , GANGANAGAR, GANGANAGAR",,,100,,,
Rajasthan,UDA0000,RAJ72,RAJASTHAN SALES PVT LTD,UDAIPUR,"UDAIPUR , DUNGARPUR , BANSWARA , PRATAPGARH",,,270,,,
Rajasthan,SGA0100,RAJ73,RAJ HOSIERY AGENCY,SRI GANAGANAGAR,"GANGANAGAR , HANUMANGARH",,,90,,,
Rajasthan,BDR0000,RAJ74,KUNAL AGENCIES,BHADRA,HANUMANGARH,,,90,,,
