CODE,AREA (OFFICE NAME)
YAM0200,"Bakali B.O,Ban B.O,Bapdi B.O,Barout B.O,Brahan BO,Gajlana B.O,Gudha B.O,Kalirano B.O,Kheri Dabdallan B.O,Ladwa S.O,Lohara B.O,Ngm Ladwa S.O,Niwarsi B.O,Prahladpur B.O"
SON0200,
BAH0000,"Qutub Vihar SO,Akbarpur BO,Bayal BO,Bhungerka BO,Budhwal BO,Dholera BO,Golwa BO,Nagal Nunia BO,Nangal Chaudhry SO,Nangal Dargu BO,Niamatpur BO,Sareli BO,Sirohi Behali BO,Thanwas BO,Atail BO,Bhaproda BO,Bhasro Kalan BO,Bus Stand,Chuliyana BO,Dehkora BO,DLF Colony Rohtak SO,Gandhi Camp SO,Gandhra BO,Garhi BO,Gijhi BO,Gohana Road SO Rohtak,Hissar Road Rohtak SO,Ismaila BO,Janta Colony Rohtak SO,Jhajjar Road Rohtak SO,Kharhar BO,Kultana BO,Loharheri BO,Matan BO,MD University Rohtak SO,Medical College SO Rohtak,Model Town SO Rohtak,Naya Bans BO,Nonaud BO,Rohtak HO,Rohtak Sector I SO,Rohtak Town SO,Sampla SO,Shivaji Colony SO,Barona BO,Bidhlan BO,GKMatindu BO,Gopalpur BO,Khanda BO,Kharkhauda SO,Kundal BO,Pehladpur Kiroli BO,Pipli BO,Rohna BO,Saidpur BO,Sehri BO,Sohti BO,Thanakalan BO"
RTA0001,"Farrukh Nagar SO,Khera Khurampur BO,Patil RS BO,Sewari BO,Sultanpur BO,Anaj Mandi Hansi SO,Badhawar BO,Banbhori BO,BARWALA MANDI SO,Barwala Road Hansi SO,Barwala SO Hisar,Bhaini Badshahpur BO,Bhatla BO,Biana Khera BO,Bugana BO,Chainat BO,Daultpur BO,Dhadh BO,Dhana Kalan BO,Dhana Khurd BO,Dhanderi BO,Dhani Khan Bahadur BO,Dhani Peeranwali BO,Faridpur BO,Gaibipur BO,Garhi BO,Ghirai BO,Gurana BO,Hajampur BO,Hansi City SO,Hansi SO,Jamawari BO,Jeora BO,Kharak Punia BO,Kharkara BO,Khedar BO,Khokha BO,Kulana BO,Kumbha BO,Matloda BO,Mehanda BO,Mini Secretariat Hansi SO,Panihari BO,Petwar BO,Puthimangal Khan BO,Rajli BO,Sandlana BO,Sarhera BO,Sarsod BO,Shaikhpura BO,Sindher BO,Sorkhi BO,Sultanpur BO,T C Hansi SO,Thurana BO,Umra BO,Farmana SO,Garhi Sisana ED BO,Gorar BO,Guhna BO,Jasrana BO"
CDR0001,"Bahu Akbarpur BO, Basana BO, Mokhra SO"
JIN0000,"Amani BO,Bhaini Amirpur BO,Budana BO,Chander Kalan BO,Dangra BO,Fatehpuri BO,Gajuwala BO,Gamra BO,Haibatpur BO,Inda Chhoi BO,Jamalpur Sheikhan BO,Kanheri BO,Kapro BO,Kheri Jalab BO,Koth Khurd BO,Kudni BO,Lalauda BO,Lohari Ragho BO,Madha BO,Majra BO,Milakpur BO,Mirchpur BO,Moth BO,Nangla BO,Nara BO,Narnaund SO,Partan BO,Pirthala BO,Rainwali BO,Rajthal BO,Rakhi Shahpur BO,Samain BO,Sotha BO,Tohana Mandi SO,Tohana SO,Ardhana B.O,Assandh S.O,Bahari B.O,Bandarala B.O,Bhaini Khrud B.O,Bilona B.O,Chochra B.O,Jai Singh Pura B.O,Jalmana B.O,Kachwa B.O,Karna Lake B.O,Karsa Chor B.O,Kheri Sarf Ali B.O,Kuruk Jagir B.O,Mardanheri B.O,Nariana B.O,Padhana B.O,Popran B.O,Rahra B.O,Ramana Ramani B.O,Ramba B.O,Sagga B.O,Sambhi B.O,Saunkra B.O,Shamgarh B.O,Sultanpur B.O,Taraori S.O,Taroari Mandi S.O,Thal B.O,Uchana B.O,Uplana B.O"
RRI0100,
KAI0201,"Achhanpur B.O,Agongh B.O,Amupur B.O,Balu B.O,Bastali B.O,Brass B.O,Dachar B.O,Gonder B.O,Manjura B.O,Mehmal B.O,Nissing S.O,Singhra B.O,Sirsi B.O,Arnauli B.O,Badsui B.O,Bakhli B.O,Balbera B.O,Baupur B.O,Bhagal B.O,Bhorakh B.O,Bhuna B.O,Bhuslan B.O,Bodhni B.O,Chika S.O,Daba B.O,Diwana B.O,Gaggarpur B.O,Harigarh Kingan B.O,Ishaq B.O,Karah B.O,Kharaudi B.O,Malikpur B.O,Mehmoodpur B.O,Mengran B.O,Murtzapur B.O,Peedal B.O,Pehowa S.O,Saina Saida B.O,Sandholi B.O,Saraswati Mandir Pehowa S.O,Sarsa B.O,Urnai B.O"
GUR0100,
HIS0100,"Azamabad Mukhota BO,Barkoda BO,Bashirpur BO,Bhushan Kalan BO,Chillro BO,Dhanota BO,Dharson BO,Dhor Kalan BO,Dochana BO,Dublana BO,Hamidpur BO,Hudina BO,Kamania BO,Kanwi BO,Karota BO,Koriawas BO,Krishan Nagar BO,Kultazpur BO,Madhana Kalan BO,Mandi BO,Mini SecttNarnaul SO,Nangal Katha BO,Narnaul City SO,Narnaul HO,Narnaul Kty SO,Neerpur BO,Nizampur RS BO,Raghunathpura BO"
SIR0000,
RTA0100,
AMA0200,
GUR0300,
KRA0000,"Ahar B.O,Arjheri B.O,Bairsal B.O,Bandh B.O,Bhadson B.O,Bhaini Khrud B.O,Buana Lakhu B.O,Israna S.O,Jondhan Kalan B.O,Kachwa B.O,Karad B.O,Karna Lake B.O,Kurana B.O,Kuruk Jagir B.O,Mandi B.O,Nariana B.O,Nilokheri GIP S.O,Nilokheri S.O,Padhana B.O,Pardhana B.O,Puther B.O,Ramana Ramani B.O,Ramba B.O,Sagga B.O,Samana Bahu B.O,Sambhi B.O,Sandhir B.O,Saunkra B.O,Seenk B.O,Shahpur B.O,Shamgarh B.O,Sidhpur B.O,Sikri B.O,Sultanpur B.O,Taraori S.O,Taroari Mandi S.O,Uchana B.O,Udana B.O,Urlana Kalan B.O"
